Feature,Importance
count_amenity_transportation,0.4426566372070537
population,0.3200312644281911
count_amenity_shopping_food,0.11664075518970289
count_amenity_leisure_recreation,0.019057472003632284
count_amenity_healthcare,0.018307915039188407
count_amenity_education,0.016119819417453503
count_amenity_workplaces,0.013896152176803142
count_amenity_public_services,0.013064069006904452
count_amenity_entertainment,0.011361676775211127
count_amenity_religious,0.010794514704096078
count_amenity_tourism,0.010058248535369902
count_amenity_accommodation,0.00801147551639345
